,job_name,norm_job_submit_time,gpu_milli,ddl,A100,GTX2080Ti,V100
0,openb-pod-2159,0,650,inf,1365.0,2351,3534
1,openb-pod-1712,0,160,inf,3708.0,5429,9345
2,openb-pod-3923,0,320,inf,2492.0,4358,6533
3,openb-pod-7291,0,320,inf,3772.0,5394,9549
4,openb-pod-7689,0,470,inf,11842.0,17150,30906
5,openb-pod-4270,0,470,inf,2580.0,3886,6548
6,openb-pod-6764,0,650,inf,13690.0,22068,34633
7,openb-pod-4242,0,470,9240.0,6372.0,9998,16586
8,openb-pod-2819,0,320,inf,5642.0,11167,13918
9,openb-pod-8010,0,320,inf,10586.0,14958,25594
10,openb-pod-5200,0,320,inf,4905.0,7403,12018
11,openb-pod-3239,0,160,inf,2175.0,3164,5529
12,openb-pod-6025,0,320,inf,8146.0,15821,20131
13,openb-pod-3784,0,320,inf,1749.0,2773,4440
14,openb-pod-7870,0,320,inf,12198.0,20657,29917
15,openb-pod-5953,0,470,inf,4021.0,5932,9761
16,openb-pod-4409,0,650,inf,2456.0,4004,6156
17,openb-pod-4587,0,470,inf,3384.0,5696,8197
18,openb-pod-6744,0,320,inf,26641.0,51577,69133
19,openb-pod-3655,0,650,3483.0,2506.0,4097,6050
20,openb-pod-6225,0,160,inf,1389.0,2653,3552
21,openb-pod-5951,0,320,inf,13204.0,21696,34406
22,openb-pod-3829,0,650,inf,2506.0,3676,6175
23,openb-pod-5094,0,320,41025.0,13786.0,20164,36634
24,openb-pod-3828,0,470,inf,3184.0,5446,8372
25,openb-pod-4648,0,650,inf,1676.0,2377,4100
26,openb-pod-3367,0,470,inf,1020.0,1945,2594
27,openb-pod-5075,0,650,inf,1217.0,2294,3063
28,openb-pod-6069,0,230,inf,3578.0,6965,9098
29,openb-pod-2548,0,470,inf,1058.0,1486,2790
30,openb-pod-5702,0,320,inf,7888.0,15331,19191
31,openb-pod-6284,0,470,inf,7185.0,12490,17947
32,openb-pod-5545,0,470,inf,1109.0,1614,2858
33,openb-pod-5036,0,460,inf,1528.0,2714,3707
34,openb-pod-6449,0,160,inf,2427.0,3600,6402
35,openb-pod-6679,0,320,inf,3772.0,6764,9835
36,openb-pod-7768,0,160,inf,28306.0,43719,74316
37,openb-pod-1879,0,460,inf,2931.0,4491,7229
38,openb-pod-1582,0,220,inf,7240.0,12895,17797
39,openb-pod-3563,0,230,inf,3578.0,6568,8591
40,openb-pod-1216,0,230,inf,1213.0,1944,3049
41,openb-pod-7334,0,320,inf,6005.0,11506,15564
42,openb-pod-1218,0,460,inf,1736.0,3158,4519
43,openb-pod-5753,0,650,inf,1453.0,2038,3798
44,openb-pod-7705,0,160,inf,4440.0,8219,10800
45,openb-pod-2961,0,460,inf,1499.0,2652,3884
46,openb-pod-6884,0,460,inf,1692.0,3066,4436
47,openb-pod-6093,0,110,97058.0,55754.0,100397,137978
48,openb-pod-6002,0,320,inf,15235.0,27318,39688
49,openb-pod-1438,0,470,inf,3195.0,4755,8323
50,openb-pod-5644,0,320,inf,1334.0,2600,3416
51,openb-pod-4569,0,110,inf,22724.0,38119,59961
52,openb-pod-7165,0,320,inf,2563.0,3929,6663
53,openb-pod-5779,0,320,inf,10597.0,18005,28166
54,openb-pod-2896,0,460,inf,2700.0,4972,6642
55,openb-pod-3622,0,320,inf,5613.0,8662,14293
56,openb-pod-2161,0,220,inf,2755.0,5061,7258
57,openb-pod-3863,0,320,inf,4294.0,6942,10781
58,openb-pod-3049,0,220,inf,9625.0,15302,25188
59,openb-pod-3506,0,230,inf,12674.0,23734,30878
60,openb-pod-1310,0,650,inf,2194.0,3115,5289
61,openb-pod-3755,0,470,inf,1466.0,2370,3554
62,openb-pod-3633,0,220,inf,7337.0,10609,18504
63,openb-pod-2403,0,330,inf,55746.0,94944,140217
64,openb-pod-1637,0,650,inf,1777.0,3539,4664
65,openb-pod-6450,0,470,inf,4572.0,8573,11579
66,openb-pod-5009,0,650,4405.0,2590.0,4393,6383
67,openb-pod-6408,0,320,inf,1749.0,2850,4504
68,openb-pod-2218,0,160,inf,37083.0,60556,89813
69,openb-pod-7613,0,650,inf,1903.0,3083,4585
70,openb-pod-2341,0,460,inf,26697.0,46750,69430
71,openb-pod-2071,0,320,inf,15235.0,25913,39746
72,openb-pod-5126,0,320,inf,1201.0,2292,3081
