filename,frag_size,frag_size_runtime,frag_size_jct
allox_[0-100],59390.0,7535227350.000006,8.417106754481117e+16
allox_[0-150],91640.0,8481579610.000005,8.451271322861499e+16
allox_[0-200],122210.0,9143079070.000004,8.466201414695333e+16
chronus_[0-100],59390.0,14428928510.0,3.3291184323219315e+17
chronus_[0-150],91640.0,19820554559.999996,5.6211026578848826e+17
chronus_[0-200],122210.0,20540558839.999996,5.625070592726353e+17
fgt_[0-100],59390.0,7345194070.0,8.413557045200474e+16
fgt_[0-150],91640.0,8091258250.0,8.43002981693083e+16
fgt_[0-200],122210.0,8582015110.0,8.447729430766189e+16
gavel_[0-100],59390.0,18699372410.000004,5.614587497721437e+17
gavel_[0-150],91640.0,16151872340.000008,3.339991470222341e+17
gavel_[0-200],122210.0,10084392190.000004,8.54166836524271e+16
hydrapureheuristic_[0-100],59390.0,7550728130.0,8.427548058301614e+16
hydrapureheuristic_[0-150],91640.0,8457196800.000004,8.459085958667144e+16
hydrapureheuristic_[0-200],122210.0,9188955220.0,8.48157260866267e+16
