scheduler,job_name,selected_gpu_id,selected_gpu_type,runtime_on_gpu,start_time,job_jct,gpu_milli,ddl
allox_[0-100],openb-pod-3101,0,A100,1080,0,1080,460,inf
allox_[0-100],openb-pod-1118,1,A100,1122,0,1122,470,inf
allox_[0-100],openb-pod-1127,4,A100,1295,0,1295,470,3854.0
allox_[0-100],openb-pod-2132,2,A100,1301,0,1301,160,3902.0
allox_[0-100],openb-pod-2030,3,A100,1327,0,1327,650,inf
allox_[0-100],openb-pod-2006,5,GTX2080Ti,1664,0,1664,650,inf
allox_[0-100],openb-pod-1478,6,GTX2080Ti,1733,0,1733,480,inf
allox_[0-100],openb-pod-3120,7,GTX2080Ti,1811,0,1811,650,inf
allox_[0-100],openb-pod-2954,8,GTX2080Ti,1863,0,1863,650,inf
allox_[0-100],openb-pod-1976,0,A100,1414,1080,2494,650,inf
allox_[0-100],openb-pod-3342,1,A100,1411,1122,2533,160,inf
allox_[0-100],openb-pod-2947,12,V100,2706.9999999999995,0,2706.9999999999995,470,2492.0
allox_[0-100],openb-pod-1652,2,A100,1710,1301,3011,470,inf
allox_[0-100],openb-pod-2431,9,GTX2080Ti,3037.9999999999995,0,3037.9999999999995,470,inf
allox_[0-100],openb-pod-1593,4,A100,1796,1295,3091,460,2294.0
allox_[0-100],openb-pod-1211,10,V100,3187.000000000001,0,3187.000000000001,320,inf
allox_[0-100],openb-pod-1569,3,A100,1945,1327,3272,320,inf
allox_[0-100],openb-pod-2074,11,V100,3479,0,3479,650,inf
allox_[0-100],openb-pod-1589,13,V100,3736.000000000001,0,3736.000000000001,460,inf
allox_[0-100],openb-pod-1968,14,V100,4277,0,4277,460,inf
allox_[0-100],openb-pod-1783,1,A100,2026,2533,4559,160,inf
allox_[0-100],openb-pod-3038,5,GTX2080Ti,3147.000000000001,1664,4811.000000000001,650,inf
allox_[0-100],openb-pod-3108,0,A100,2371,2494,4865,460,3899.0
allox_[0-100],openb-pod-2807,6,GTX2080Ti,3524,1733,5257,650,inf
allox_[0-100],openb-pod-3161,2,A100,2252,3011,5263,470,inf
allox_[0-100],openb-pod-1793,8,GTX2080Ti,3560,1863,5423,110,inf
allox_[0-100],openb-pod-2816,4,A100,2377,3091,5468,650,inf
allox_[0-100],openb-pod-2335,7,GTX2080Ti,3789.999999999999,1811,5600.999999999999,230,inf
allox_[0-100],openb-pod-1213,3,A100,2368,3272,5640,470,inf
allox_[0-100],openb-pod-2637,9,GTX2080Ti,3813.0000000000005,3037.9999999999995,6851,460,6933.0
allox_[0-100],openb-pod-2374,12,V100,4440,2706.9999999999995,7146.999999999999,320,inf
allox_[0-100],openb-pod-1800,1,A100,2625,4559,7184,470,inf
allox_[0-100],openb-pod-3079,10,V100,4770,3187.000000000001,7957.000000000001,650,inf
allox_[0-100],openb-pod-3055,0,A100,3118.000000000001,4865,7983.000000000001,320,inf
allox_[0-100],openb-pod-1241,4,A100,2519,5468,7987,650,inf
allox_[0-100],openb-pod-1181,13,V100,4383.000000000002,3736.000000000001,8119.000000000003,650,inf
allox_[0-100],openb-pod-2038,2,A100,3066,5263,8329,470,inf
allox_[0-100],openb-pod-2467,5,GTX2080Ti,4033.000000000001,4811.000000000001,8844.000000000002,220,inf
allox_[0-100],openb-pod-2829,3,A100,3442,5640,9082,320,inf
allox_[0-100],openb-pod-1451,14,V100,5254,4277,9531,650,inf
allox_[0-100],openb-pod-2266,11,V100,7095,3479,10574,650,inf
allox_[0-100],openb-pod-3292,8,GTX2080Ti,5593.000000000002,5423,11016.000000000002,470,inf
allox_[0-100],openb-pod-2419,1,A100,3868,7184,11052,470,inf
allox_[0-100],openb-pod-1239,6,GTX2080Ti,6608.999999999998,5257,11865.999999999998,160,8525.0
allox_[0-100],openb-pod-1404,7,GTX2080Ti,6640.999999999999,5600.999999999999,12241.999999999998,160,13293.0
allox_[0-100],openb-pod-2633,2,A100,4278,8329,12607,220,inf
allox_[0-100],openb-pod-2246,0,A100,4718.000000000001,7983.000000000001,12701.000000000002,220,inf
allox_[0-100],openb-pod-2135,4,A100,4928,7987,12915,320,inf
allox_[0-100],openb-pod-3324,3,A100,3962,9082,13044,320,7720.0
allox_[0-100],openb-pod-2208,9,GTX2080Ti,6747.000000000002,6851,13598.000000000002,320,inf
allox_[0-100],openb-pod-2210,5,GTX2080Ti,7140.999999999998,8844.000000000002,15985,650,inf
allox_[0-100],openb-pod-2964,1,A100,5708,11052,16760,470,inf
allox_[0-100],openb-pod-1475,12,V100,10904.999999999996,7146.999999999999,18051.999999999996,320,11670.0
allox_[0-100],openb-pod-2487,4,A100,5365,12915,18280,480,inf
allox_[0-100],openb-pod-2743,0,A100,5641.999999999998,12701.000000000002,18343,320,inf
allox_[0-100],openb-pod-3246,2,A100,5757,12607,18364,590,inf
allox_[0-100],openb-pod-2636,3,A100,5467,13044,18511,650,14413.0
allox_[0-100],openb-pod-2446,8,GTX2080Ti,7847.999999999998,11016.000000000002,18864,320,inf
allox_[0-100],openb-pod-3402,6,GTX2080Ti,8034.999999999998,11865.999999999998,19900.999999999996,230,inf
allox_[0-100],openb-pod-2821,14,V100,10487.999999999996,9531,20018.999999999996,320,inf
allox_[0-100],openb-pod-2611,13,V100,13381,8119.000000000003,21500.000000000004,320,inf
allox_[0-100],openb-pod-3380,7,GTX2080Ti,9341.000000000002,12241.999999999998,21583,160,inf
allox_[0-100],openb-pod-2988,10,V100,13726.999999999996,7957.000000000001,21683.999999999996,320,inf
allox_[0-100],openb-pod-1918,1,A100,6416,16760,23176,650,inf
allox_[0-100],openb-pod-2677,9,GTX2080Ti,9945.000000000002,13598.000000000002,23543.000000000004,230,inf
allox_[0-100],openb-pod-2438,11,V100,14054.000000000004,10574,24628.000000000004,460,inf
allox_[0-100],openb-pod-1426,4,A100,7443,18280,25723,320,inf
allox_[0-100],openb-pod-1766,2,A100,8353,18364,26717,470,inf
allox_[0-100],openb-pod-2937,0,A100,8448,18343,26791,320,inf
allox_[0-100],openb-pod-2582,3,A100,8794,18511,27305,320,inf
allox_[0-100],openb-pod-2008,8,GTX2080Ti,11168,18864,30032,320,inf
allox_[0-100],openb-pod-3118,1,A100,9379.000000000004,23176,32555.000000000004,320,inf
allox_[0-100],openb-pod-2968,4,A100,9925,25723,35648,220,inf
allox_[0-100],openb-pod-1343,5,GTX2080Ti,19772,15985,35757,470,inf
allox_[0-100],openb-pod-2060,2,A100,9153,26717,35870,320,inf
allox_[0-100],openb-pod-1279,7,GTX2080Ti,15890,21583,37473,320,inf
allox_[0-100],openb-pod-3043,0,A100,11166,26791,37957,810,28770.0
allox_[0-100],openb-pod-3012,3,A100,11842,27305,39147,470,15119.0
allox_[0-100],openb-pod-1548,6,GTX2080Ti,20223.000000000004,19900.999999999996,40124,220,inf
allox_[0-100],openb-pod-1850,1,A100,13569.999999999996,32555.000000000004,46125,320,inf
allox_[0-100],openb-pod-1867,9,GTX2080Ti,23135.000000000004,23543.000000000004,46678.00000000001,320,inf
allox_[0-100],openb-pod-2301,4,A100,13638,35648,49286,650,inf
allox_[0-100],openb-pod-1520,12,V100,32040.00000000002,18051.999999999996,50092.000000000015,320,inf
allox_[0-100],openb-pod-2756,14,V100,30334.99999999999,20018.999999999996,50353.999999999985,160,inf
allox_[0-100],openb-pod-2724,10,V100,29473.000000000004,21683.999999999996,51157,220,inf
allox_[0-100],openb-pod-1267,13,V100,32798,21500.000000000004,54298.00000000001,320,inf
allox_[0-100],openb-pod-3097,2,A100,18457,35870,54327,320,inf
allox_[0-100],openb-pod-1434,11,V100,33145,24628.000000000004,57773.00000000001,470,inf
allox_[0-100],openb-pod-2722,0,A100,20410,37957,58367,320,inf
allox_[0-100],openb-pod-2154,3,A100,23497,39147,62644,50,inf
allox_[0-100],openb-pod-1319,9,GTX2080Ti,30078.999999999993,46678.00000000001,76757,160,inf
allox_[0-100],openb-pod-2093,5,GTX2080Ti,46077.00000000003,35757,81834.00000000003,460,inf
allox_[0-100],openb-pod-1636,1,A100,43251,46125,89376,320,inf
allox_[0-100],openb-pod-2950,8,GTX2080Ti,71403.00000000003,30032,101435.00000000003,160,inf
allox_[0-100],openb-pod-3104,7,GTX2080Ti,70772.99999999999,37473,108245.99999999999,320,inf
allox_[0-100],openb-pod-2260,6,GTX2080Ti,79729,40124,119853,320,inf
allox_[0-100],openb-pod-2173,0,A100,78199,58367,136566,550,111625.0
allox_[0-100],openb-pod-2907,3,A100,75528,62644,138172,810,inf
allox_[0-100],openb-pod-2354,2,A100,106344,54327,160671,320,199415.0
allox_[0-100],openb-pod-1958,4,A100,12475899.000000004,49286,12525185.000000004,460,inf
allox_[0-150],openb-pod-2300,4,A100,1067,0,1067,320,inf
allox_[0-150],openb-pod-3101,0,A100,1080,0,1080,460,inf
allox_[0-150],openb-pod-2947,3,A100,1086,0,1086,470,2492.0
allox_[0-150],openb-pod-1696,1,A100,1094,0,1094,470,inf
allox_[0-150],openb-pod-1118,2,A100,1122,0,1122,470,inf
allox_[0-150],openb-pod-2889,6,GTX2080Ti,1626,0,1626,320,inf
allox_[0-150],openb-pod-2006,7,GTX2080Ti,1663.9999999999998,0,1663.9999999999998,650,inf
allox_[0-150],openb-pod-1478,8,GTX2080Ti,1733.0000000000002,0,1733.0000000000002,480,inf
allox_[0-150],openb-pod-2113,9,GTX2080Ti,1806.9999999999998,0,1806.9999999999998,230,inf
allox_[0-150],openb-pod-3120,5,GTX2080Ti,1811.0000000000002,0,1811.0000000000002,650,inf
allox_[0-150],openb-pod-2745,4,A100,1199,1067,2266,320,inf
allox_[0-150],openb-pod-2132,1,A100,1301,1094,2395,160,3902.0
allox_[0-150],openb-pod-2030,0,A100,1327,1080,2407,650,inf
allox_[0-150],openb-pod-1127,2,A100,1295,1122,2417,470,3854.0
allox_[0-150],openb-pod-3342,3,A100,1410.9999999999995,1086,2496.9999999999995,160,inf
allox_[0-150],openb-pod-1376,10,V100,2779.0000000000005,0,2779.0000000000005,650,inf
allox_[0-150],openb-pod-1211,11,V100,3187,0,3187,320,inf
allox_[0-150],openb-pod-1812,13,V100,3220.9999999999995,0,3220.9999999999995,810,inf
allox_[0-150],openb-pod-3337,14,V100,3242.000000000001,0,3242.000000000001,470,inf
allox_[0-150],openb-pod-2074,12,V100,3478.999999999999,0,3478.999999999999,650,inf
allox_[0-150],openb-pod-2954,6,GTX2080Ti,1863,1626,3489,650,inf
allox_[0-150],openb-pod-1529,7,GTX2080Ti,1843.0000000000007,1663.9999999999998,3507.0000000000005,650,inf
allox_[0-150],openb-pod-2762,8,GTX2080Ti,1874.9999999999993,1733.0000000000002,3607.9999999999995,230,inf
allox_[0-150],openb-pod-2868,4,A100,1456,2266,3722,320,inf
allox_[0-150],openb-pod-1976,1,A100,1414,2395,3809,650,inf
allox_[0-150],openb-pod-1150,2,A100,1466,2417,3883,470,inf
allox_[0-150],openb-pod-1398,0,A100,1489,2407,3896,650,inf
allox_[0-150],openb-pod-2205,3,A100,1466,2496.9999999999995,3962.9999999999995,650,inf
allox_[0-150],openb-pod-3222,9,GTX2080Ti,2946.999999999999,1806.9999999999998,4753.999999999999,470,inf
allox_[0-150],openb-pod-2431,5,GTX2080Ti,3037.999999999999,1811.0000000000002,4848.999999999999,470,inf
allox_[0-150],openb-pod-1569,4,A100,1945,3722,5667,320,inf
allox_[0-150],openb-pod-3079,1,A100,1904,3809,5713,650,inf
allox_[0-150],openb-pod-1633,0,A100,1855,3896,5751,460,inf
allox_[0-150],openb-pod-1593,3,A100,1796.0000000000005,3962.9999999999995,5759,460,2294.0
allox_[0-150],openb-pod-2394,2,A100,2036,3883,5919,160,inf
allox_[0-150],openb-pod-1589,10,V100,3736.0000000000014,2779.0000000000005,6515.000000000002,460,inf
allox_[0-150],openb-pod-1793,7,GTX2080Ti,3559.9999999999995,3507.0000000000005,7067,110,inf
allox_[0-150],openb-pod-2807,8,GTX2080Ti,3523.9999999999995,3607.9999999999995,7131.999999999999,650,inf
allox_[0-150],openb-pod-2335,6,GTX2080Ti,3790,3489,7279,230,inf
allox_[0-150],openb-pod-1968,11,V100,4277.000000000001,3187,7464.000000000001,460,inf
allox_[0-150],openb-pod-1652,14,V100,4237.000000000001,3242.000000000001,7479.000000000002,470,inf
allox_[0-150],openb-pod-2374,13,V100,4439.999999999998,3220.9999999999995,7660.999999999998,320,inf
allox_[0-150],openb-pod-1181,12,V100,4383,3478.999999999999,7861.999999999999,650,inf
allox_[0-150],openb-pod-3161,1,A100,2252,5713,7965,470,inf
allox_[0-150],openb-pod-1783,9,GTX2080Ti,3215,4753.999999999999,7968.999999999999,160,inf
allox_[0-150],openb-pod-3038,5,GTX2080Ti,3147,4848.999999999999,7995.999999999999,650,inf
allox_[0-150],openb-pod-1213,4,A100,2368,5667,8035,470,inf
allox_[0-150],openb-pod-3108,0,A100,2371,5751,8122,460,3899.0
allox_[0-150],openb-pod-1241,3,A100,2519,5759,8278,650,inf
allox_[0-150],openb-pod-2816,2,A100,2377,5919,8296,650,inf
allox_[0-150],openb-pod-1800,0,A100,2625,8122,10747,470,inf
allox_[0-150],openb-pod-1960,4,A100,2721,8035,10756,220,inf
allox_[0-150],openb-pod-2038,1,A100,3066,7965,11031,470,inf
allox_[0-150],openb-pod-2826,3,A100,3100,8278,11378,110,inf
allox_[0-150],openb-pod-3055,2,A100,3118,8296,11414,320,inf
allox_[0-150],openb-pod-2637,9,GTX2080Ti,3812.999999999999,7968.999999999999,11781.999999999998,460,6933.0
allox_[0-150],openb-pod-2467,5,GTX2080Ti,4033.000000000001,7995.999999999999,12029,220,inf
allox_[0-150],openb-pod-1451,11,V100,5253.999999999999,7464.000000000001,12718,650,inf
allox_[0-150],openb-pod-3292,8,GTX2080Ti,5593.000000000003,7131.999999999999,12725.000000000002,470,inf
allox_[0-150],openb-pod-3149,7,GTX2080Ti,6365.000000000004,7067,13432.000000000004,320,inf
allox_[0-150],openb-pod-2266,10,V100,7094.999999999998,6515.000000000002,13610,650,inf
allox_[0-150],openb-pod-2489,6,GTX2080Ti,6352.999999999998,7279,13631.999999999998,650,inf
allox_[0-150],openb-pod-2513,1,A100,3356,11031,14387,470,5558.0
allox_[0-150],openb-pod-2524,0,A100,3770,10747,14517,470,inf
allox_[0-150],openb-pod-2976,4,A100,3772,10756,14528,320,inf
allox_[0-150],openb-pod-2049,3,A100,3248,11378,14626,220,inf
allox_[0-150],openb-pod-2829,2,A100,3442,11414,14856,320,inf
allox_[0-150],openb-pod-1109,12,V100,7945.000000000001,7861.999999999999,15807,320,inf
allox_[0-150],openb-pod-2419,13,V100,9546.000000000002,7660.999999999998,17207,470,inf
allox_[0-150],openb-pod-2821,14,V100,10487.999999999995,7479.000000000002,17966.999999999996,320,inf
allox_[0-150],openb-pod-3324,1,A100,3962,14387,18349,320,7720.0
allox_[0-150],openb-pod-1404,9,GTX2080Ti,6641.000000000002,11781.999999999998,18423,160,13293.0
allox_[0-150],openb-pod-2208,5,GTX2080Ti,6747,12029,18776,320,inf
allox_[0-150],openb-pod-2633,3,A100,4278,14626,18904,220,inf
allox_[0-150],openb-pod-2771,4,A100,4468,14528,18996,470,inf
allox_[0-150],openb-pod-1239,8,GTX2080Ti,6608.999999999998,12725.000000000002,19334,160,8525.0
allox_[0-150],openb-pod-2135,0,A100,4928,14517,19445,320,inf
allox_[0-150],openb-pod-2246,2,A100,4718,14856,19574,220,inf
allox_[0-150],openb-pod-1784,6,GTX2080Ti,6708.000000000002,13631.999999999998,20340,470,inf
allox_[0-150],openb-pod-2210,7,GTX2080Ti,7141,13432.000000000004,20573.000000000004,650,inf
allox_[0-150],openb-pod-2743,1,A100,5642.000000000004,18349,23991.000000000004,320,inf
allox_[0-150],openb-pod-2487,3,A100,5365,18904,24269,480,inf
allox_[0-150],openb-pod-2636,4,A100,5467,18996,24463,650,14413.0
allox_[0-150],openb-pod-2699,0,A100,5492,19445,24937,320,inf
