scheduler,job_name,selected_gpu_id,selected_gpu_type,runtime_on_gpu,start_time,job_jct,gpu_milli,ddl
fgt_[0-100],openb-pod-3101,0,A100,1086,0,1086,460,inf
fgt_[0-100],openb-pod-2947,0,A100,1086,0,1086,470,2492.0
fgt_[0-100],openb-pod-1127,0,A100,1528,1086,2614,470,3854.0
fgt_[0-100],openb-pod-1589,0,A100,1528,1086,2614,460,inf
fgt_[0-100],openb-pod-3079,0,A100,4278,2614,6892,650,inf
fgt_[0-100],openb-pod-2633,0,A100,4278,2614,6892,220,inf
fgt_[0-100],openb-pod-2266,0,A100,4344,4518,8862,650,inf
fgt_[0-100],openb-pod-2821,0,A100,4344,4518,8862,320,inf
fgt_[0-100],openb-pod-2446,0,A100,11677,8862,20539,320,inf
fgt_[0-100],openb-pod-1279,0,A100,10165,8862,19027,320,inf
fgt_[0-100],openb-pod-2724,0,A100,11677,8862,20539,220,inf
fgt_[0-100],openb-pod-1343,0,A100,48212,20539,68751,470,inf
fgt_[0-100],openb-pod-3104,0,A100,40717,20539,61256,320,inf
fgt_[0-100],openb-pod-2950,0,A100,48212,20539,68751,160,inf
fgt_[0-100],openb-pod-2301,0,A100,48850,32380,81230,650,inf
fgt_[0-100],openb-pod-2260,0,A100,48850,32380,81230,320,inf
fgt_[0-100],openb-pod-2006,1,A100,1829,0,1829,650,inf
fgt_[0-100],openb-pod-2374,1,A100,1829,0,1829,320,inf
fgt_[0-100],openb-pod-2030,1,A100,4440,1138,5578,650,inf
fgt_[0-100],openb-pod-1783,1,A100,2026,1138,3164,160,inf
fgt_[0-100],openb-pod-1239,1,A100,4440,1138,5578,160,8525.0
fgt_[0-100],openb-pod-1181,1,A100,3962,2465,6427,650,inf
fgt_[0-100],openb-pod-3324,1,A100,3962,2465,6427,320,7720.0
fgt_[0-100],openb-pod-2816,1,A100,5868,4237,10105,650,inf
fgt_[0-100],openb-pod-1404,1,A100,4445,4237,8682,160,13293.0
fgt_[0-100],openb-pod-3380,1,A100,5868,4237,10105,160,inf
fgt_[0-100],openb-pod-2135,1,A100,9379,8682,18061,320,inf
fgt_[0-100],openb-pod-2060,1,A100,9153,8682,17835,320,inf
fgt_[0-100],openb-pod-3118,1,A100,9379,8682,18061,320,inf
fgt_[0-100],openb-pod-2968,1,A100,9925,18061,27986,220,inf
fgt_[0-100],openb-pod-2907,1,A100,75528,27986,103514,810,inf
fgt_[0-100],openb-pod-3120,2,A100,1315,0,1315,650,inf
fgt_[0-100],openb-pod-1211,2,A100,1315,0,1315,320,inf
fgt_[0-100],openb-pod-2074,2,A100,3118,1315,4433,650,inf
fgt_[0-100],openb-pod-3055,2,A100,3118,1315,4433,320,inf
fgt_[0-100],openb-pod-1451,2,A100,3442,2762,6204,650,inf
fgt_[0-100],openb-pod-2829,2,A100,3442,2762,6204,320,inf
