scheduler_name,case_range,frag_sum
AlloxScheduler,"(0, 20)",1647.6133501259446
AlloxScheduler,"(0, 40)",3080.4911838790936
AlloxScheduler,"(0, 60)",4601.6876574307325
AlloxScheduler,"(0, 80)",5701.85768261965
AlloxScheduler,"(0, 100)",6991.719143576829
AlloxScheduler,"(0, 120)",7975.308564231743
AlloxScheduler,"(0, 140)",9564.79219143577
AlloxScheduler,"(0, 160)",11027.64483627205
AlloxScheduler,"(0, 180)",12315.46599496223
AlloxScheduler,"(0, 200)",13578.350125944598
AlloxScheduler,"(0, 220)",15096.75692695216
AlloxScheduler,"(0, 240)",16421.089420654935
AlloxScheduler,"(0, 260)",18102.418136020195
AlloxScheduler,"(0, 280)",19324.84256926958
AlloxScheduler,"(0, 300)",20385.08816120911
AlloxScheduler,"(0, 320)",22020.610831234288
AlloxScheduler,"(0, 340)",23252.443324937063
AlloxScheduler,"(0, 360)",24414.47732997484
AlloxScheduler,"(0, 380)",26221.473551637308
AlloxScheduler,"(0, 400)",27492.065491183916
AlloxScheduler,"(0, 420)",28638.136020151163
ChronusScheduler,"(0, 20)",1647.6133501259446
ChronusScheduler,"(0, 40)",3080.4911838790936
ChronusScheduler,"(0, 60)",4601.6876574307325
ChronusScheduler,"(0, 80)",5701.85768261965
ChronusScheduler,"(0, 100)",6991.719143576829
ChronusScheduler,"(0, 120)",7975.308564231744
ChronusScheduler,"(0, 140)",9564.79219143577
ChronusScheduler,"(0, 160)",11027.64483627205
ChronusScheduler,"(0, 180)",12315.465994962231
ChronusScheduler,"(0, 200)",13578.3501259446
ChronusScheduler,"(0, 220)",15096.75692695216
ChronusScheduler,"(0, 240)",16421.08942065493
ChronusScheduler,"(0, 260)",18102.41813602019
ChronusScheduler,"(0, 280)",19324.84256926958
ChronusScheduler,"(0, 300)",20385.088161209107
ChronusScheduler,"(0, 320)",22020.61083123429
ChronusScheduler,"(0, 340)",23252.44332493706
ChronusScheduler,"(0, 360)",24414.47732997484
ChronusScheduler,"(0, 380)",26221.473551637308
ChronusScheduler,"(0, 400)",27492.06549118391
ChronusScheduler,"(0, 420)",28638.136020151163
FragScheduler,"(0, 20)",1647.6133501259446
FragScheduler,"(0, 40)",3080.491183879094
FragScheduler,"(0, 60)",4601.687657430732
FragScheduler,"(0, 80)",5701.8576826196495
FragScheduler,"(0, 100)",6991.719143576827
FragScheduler,"(0, 120)",7975.30856423174
FragScheduler,"(0, 140)",9564.792191435778
FragScheduler,"(0, 160)",11027.644836272055
FragScheduler,"(0, 180)",12315.465994962233
FragScheduler,"(0, 200)",13578.350125944604
FragScheduler,"(0, 220)",15096.756926952157
FragScheduler,"(0, 240)",16421.08942065493
FragScheduler,"(0, 260)",18102.41813602017
FragScheduler,"(0, 280)",19324.842569269545
FragScheduler,"(0, 300)",20385.0881612091
FragScheduler,"(0, 320)",22020.61083123428
FragScheduler,"(0, 340)",23252.443324937052
FragScheduler,"(0, 360)",24414.47732997484
FragScheduler,"(0, 380)",26221.4735516373
FragScheduler,"(0, 400)",27492.065491183905
FragScheduler,"(0, 420)",28638.13602015117
GavelScheduler,"(0, 20)",1647.6133501259446
GavelScheduler,"(0, 40)",3080.491183879093
GavelScheduler,"(0, 60)",4601.6876574307325
GavelScheduler,"(0, 80)",5701.8576826196495
GavelScheduler,"(0, 100)",6991.71914357683
GavelScheduler,"(0, 120)",7975.308564231742
GavelScheduler,"(0, 140)",9564.79219143577
GavelScheduler,"(0, 160)",11027.644836272051
GavelScheduler,"(0, 180)",12315.465994962231
GavelScheduler,"(0, 200)",13578.350125944602
GavelScheduler,"(0, 220)",15096.756926952163
GavelScheduler,"(0, 240)",16421.089420654935
GavelScheduler,"(0, 260)",18102.41813602019
GavelScheduler,"(0, 280)",19324.842569269582
GavelScheduler,"(0, 300)",20385.088161209118
GavelScheduler,"(0, 320)",22020.6108312343
GavelScheduler,"(0, 340)",23252.44332493706
GavelScheduler,"(0, 360)",24414.477329974838
GavelScheduler,"(0, 380)",26221.473551637308
GavelScheduler,"(0, 400)",27492.065491183912
GavelScheduler,"(0, 420)",28638.136020151163
KMeansScheduler,"(0, 20)",1647.6133501259446
KMeansScheduler,"(0, 40)",3080.491183879093
KMeansScheduler,"(0, 60)",4601.6876574307325
KMeansScheduler,"(0, 80)",5701.85768261965
KMeansScheduler,"(0, 100)",6991.719143576829
KMeansScheduler,"(0, 120)",7975.308564231743
KMeansScheduler,"(0, 140)",9564.792191435772
KMeansScheduler,"(0, 160)",11027.64483627205
KMeansScheduler,"(0, 180)",12315.46599496223
KMeansScheduler,"(0, 200)",13578.350125944604
KMeansScheduler,"(0, 220)",15096.756926952163
KMeansScheduler,"(0, 240)",16421.089420654935
KMeansScheduler,"(0, 260)",18102.418136020195
KMeansScheduler,"(0, 280)",19324.842569269575
KMeansScheduler,"(0, 300)",20385.088161209118
KMeansScheduler,"(0, 320)",22020.61083123429
KMeansScheduler,"(0, 340)",23252.443324937063
KMeansScheduler,"(0, 360)",24414.477329974838
KMeansScheduler,"(0, 380)",26221.4735516373
KMeansScheduler,"(0, 400)",27492.065491183916
KMeansScheduler,"(0, 420)",28638.136020151163
