Scheduler,Case Range,Max End Time
Allox,"(0, 50)",66158.99999999994
Allox,"(0, 100)",12484343.000000006
Allox,"(0, 150)",12494370.000000006
Allox,"(0, 200)",12505768.000000011
Allox,"(0, 250)",12517035.000000017
Allox,"(0, 300)",12542942.000000011
Allox,"(0, 350)",12574883.000000007
Allox,"(0, 400)",12619020.000000006
Allox,"(0, 450)",12617075.000000006
Chronus,"(0, 50)",65635.99999999999
Chronus,"(0, 100)",23366376.999999985
Chronus,"(0, 150)",30179409.999999978
Chronus,"(0, 200)",12504115.000000007
Chronus,"(0, 250)",30208253.999999974
Chronus,"(0, 300)",30223893.999999966
Chronus,"(0, 350)",30237996.99999997
Chronus,"(0, 400)",30255921.99999997
Chronus,"(0, 450)",30268080.99999997
Fgt,"(0, 50)",68234
Fgt,"(0, 100)",12489780
Fgt,"(0, 150)",12488189
Fgt,"(0, 200)",12516096
Fgt,"(0, 250)",12517878
Fgt,"(0, 300)",12563328
Fgt,"(0, 350)",12529816
Fgt,"(0, 400)",12599702
Fgt,"(0, 450)",12619226
Gavel,"(0, 50)",65635.99999999996
Gavel,"(0, 100)",30167993.999999966
Gavel,"(0, 150)",30175729.999999974
Gavel,"(0, 200)",12505585.000000013
Gavel,"(0, 250)",30206165.999999963
Gavel,"(0, 300)",22217270.999999985
Gavel,"(0, 350)",23429749.999999993
Gavel,"(0, 400)",30252342.999999978
Gavel,"(0, 450)",30272473.999999978
HydraPureHeuristic,"(0, 50)",73757.99999999999
HydraPureHeuristic,"(0, 100)",12503189.000000002
HydraPureHeuristic,"(0, 150)",12498876.000000004
HydraPureHeuristic,"(0, 200)",12526051.000000006
HydraPureHeuristic,"(0, 250)",12554019.000000004
HydraPureHeuristic,"(0, 300)",12592701.000000006
HydraPureHeuristic,"(0, 350)",12590397.00000001
HydraPureHeuristic,"(0, 400)",12627754.000000006
HydraPureHeuristic,"(0, 450)",12696724.000000004
