Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 50],0.32
HydraPureHeuristic,[0 100],0.96
HydraPureHeuristic,[0 150],1.75
HydraPureHeuristic,[0 200],2.98
HydraPureHeuristic,[0 250],4.67
HydraPureHeuristic,[0 300],6.88
HydraPureHeuristic,[0 350],9.60
HydraPureHeuristic,[0 400],12.58
HydraPureHeuristic,[0 450],16.27
Allox,[0 50],1.50
Allox,[0 100],17.57
Allox,[0 150],69.96
Allox,[0 200],182.00
Allox,[0 250],389.33
Allox,[0 300],746.04
Allox,[0 350],1239.68
Allox,[0 400],1998.37
Allox,[0 450],3043.99
Gavel,[0 50],0.01
Gavel,[0 100],0.01
Gavel,[0 150],0.02
Gavel,[0 200],0.04
Gavel,[0 250],0.04
Gavel,[0 300],0.04
Gavel,[0 350],0.06
Gavel,[0 400],0.05
Gavel,[0 450],0.08
Chronus,[0 50],0.01
Chronus,[0 100],0.01
Chronus,[0 150],0.02
Chronus,[0 200],0.03
Chronus,[0 250],0.04
Chronus,[0 300],0.05
Chronus,[0 350],0.05
Chronus,[0 400],0.07
Chronus,[0 450],0.08
Fgt,[0 50],0.00
Fgt,[0 100],0.00
Fgt,[0 150],0.01
Fgt,[0 200],0.01
Fgt,[0 250],0.01
Fgt,[0 300],0.01
Fgt,[0 350],0.02
Fgt,[0 400],0.02
Fgt,[0 450],0.02
