Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 50)",8025.76,388.24,1187,1187,1
Allox,"(0, 100)",137270.55000000005,2311.98,821.6000000000009,4108.000000000005,5
Allox,"(0, 150)",97453.98000000004,4248.8,2954.6363636363635,32501,11
Allox,"(0, 200)",97718.59500000003,6553.305,5463.857142857143,76494,14
Allox,"(0, 250)",87491.01600000006,9958.924,9315.055555555558,167671.00000000006,18
Allox,"(0, 300)",139610.1900000001,13281.673333333334,8937.708333333332,214504.99999999997,24
Allox,"(0, 350)",126938.51428571432,16495.26,13051.375,417644,32
Allox,"(0, 400)",126939.81000000001,19947.33,16657.736842105263,632994,38
Allox,"(0, 450)",127959.58000000003,23271.442222222224,18565.35555555555,835440.9999999998,45
Chronus,"(0, 50)",8838.88,106.16,1467,1467,1
Chronus,"(0, 100)",249351.53999999986,1931.08,914.9999999999964,914.9999999999964,1
Chronus,"(0, 150)",218514.6266666665,4297.306666666666,3187.99999999999,12751.99999999996,4
Chronus,"(0, 200)",109185.13000000003,6913.54,2516.2499999999836,10064.999999999935,4
Chronus,"(0, 250)",183620.15199999989,10851.244,11820.999999999882,106388.99999999894,9
Chronus,"(0, 300)",236799.50333333324,14575.413333333334,9275.666666666535,111307.99999999843,12
Chronus,"(0, 350)",237350.21999999983,18056.997142857144,11402.384615384517,148230.99999999872,13
Chronus,"(0, 400)",214676.80249999985,23128.805,5698.812499999968,91180.99999999949,16
Chronus,"(0, 450)",218137.0422222221,27828.67111111111,5085.100000000019,50851.00000000019,10
Fgt,"(0, 50)",7519.54,924.06,0,0,0
Fgt,"(0, 100)",135170.15,2036.15,0,0,0
Fgt,"(0, 150)",94637.4,3591.5133333333333,0,0,0
Fgt,"(0, 200)",93610.87,5309.45,0,0,0
Fgt,"(0, 250)",81467.804,7124.064,0,0,0
Fgt,"(0, 300)",132399.52333333335,9479.273333333333,0,0,0
Fgt,"(0, 350)",117408.78857142857,9876.68,0,0,0
Fgt,"(0, 400)",116134.115,12376.7525,0,0,0
Fgt,"(0, 450)",114970.07555555555,14015.113333333333,0,0,0
Gavel,"(0, 50)",10379.939999999999,106.16,8006.3333333333285,24018.999999999985,3
Gavel,"(0, 100)",320541.5299999997,1773.25,4428.599999999976,22142.99999999988,5
Gavel,"(0, 150)",218578.3466666665,3947.9866666666667,6088.272727272718,66970.9999999999,11
Gavel,"(0, 200)",127873.11500000003,6307.485,8466.444444444445,152396,18
Gavel,"(0, 250)",167603.58399999986,9551.92,8397.25,167945,20
Gavel,"(0, 300)",181185.70999999996,12892.85,11505.307692307688,299137.9999999999,26
Gavel,"(0, 350)",188789.48285714284,16107.825714285715,15642.451612903229,484916.0000000001,31
Gavel,"(0, 400)",199650.6249999999,19705.7275,15766.189189189183,583348.9999999998,37
Gavel,"(0, 450)",215792.54888888882,22571.275555555556,18550.304347826088,853314,46
HydraPureHeuristic,"(0, 50)",8529.52,1380.24,0,0,0
HydraPureHeuristic,"(0, 100)",137768.02000000002,2888.93,0,0,0
HydraPureHeuristic,"(0, 150)",98661.25333333336,4295.1,0,0,0
HydraPureHeuristic,"(0, 200)",98722.23000000003,7012.46,0,0,0
HydraPureHeuristic,"(0, 250)",88625.876,10646.152,0,0,0
HydraPureHeuristic,"(0, 300)",141433.91000000003,15289.156666666666,5558.000000000047,5558.000000000047,1
HydraPureHeuristic,"(0, 350)",129480.36285714291,18425.731428571427,4939.999999999998,9879.999999999996,2
HydraPureHeuristic,"(0, 400)",129846.04750000004,22645.21,2646.857142857137,18527.99999999996,7
HydraPureHeuristic,"(0, 450)",131342.29333333333,26242.304444444446,6909.000000000016,48363.00000000012,7
