Scheduler,Case Range,Violation Rate
Allox,"(0, 50)",0.02
Allox,"(0, 100)",0.05
Allox,"(0, 150)",0.07333333333333333
Allox,"(0, 200)",0.07
Allox,"(0, 250)",0.072
Allox,"(0, 300)",0.08
Allox,"(0, 350)",0.09142857142857143
Allox,"(0, 400)",0.095
Allox,"(0, 450)",0.1
Chronus,"(0, 50)",0.06
Chronus,"(0, 100)",0.0
Chronus,"(0, 150)",0.013333333333333334
Chronus,"(0, 200)",0.02
Chronus,"(0, 250)",0.032
Chronus,"(0, 300)",0.03
Chronus,"(0, 350)",0.04
Chronus,"(0, 400)",0.045
Chronus,"(0, 450)",0.022222222222222223
Fgt,"(0, 50)",0.0
Fgt,"(0, 100)",0.03
Fgt,"(0, 150)",0.04666666666666667
Fgt,"(0, 200)",0.035
Fgt,"(0, 250)",0.04
Fgt,"(0, 300)",0.043333333333333335
Fgt,"(0, 350)",0.054285714285714284
Fgt,"(0, 400)",0.065
Fgt,"(0, 450)",0.07555555555555556
Gavel,"(0, 50)",0.06
Gavel,"(0, 100)",0.05
Gavel,"(0, 150)",0.07333333333333333
Gavel,"(0, 200)",0.09
Gavel,"(0, 250)",0.08
Gavel,"(0, 300)",0.08666666666666667
Gavel,"(0, 350)",0.08857142857142856
Gavel,"(0, 400)",0.0925
Gavel,"(0, 450)",0.10222222222222223
HydraPureHeuristic,"(0, 50)",0.0
HydraPureHeuristic,"(0, 100)",0.0
HydraPureHeuristic,"(0, 150)",0.0
HydraPureHeuristic,"(0, 200)",0.0
HydraPureHeuristic,"(0, 250)",0.0
HydraPureHeuristic,"(0, 300)",0.0033333333333333335
HydraPureHeuristic,"(0, 350)",0.005714285714285714
HydraPureHeuristic,"(0, 400)",0.0175
HydraPureHeuristic,"(0, 450)",0.015555555555555555
