Scheduler,Case Range,Max End Time
Allox,"(0, 50)",66158.99999999994
Allox,"(0, 100)",12484343.000000006
Allox,"(0, 150)",12494370.000000006
Allox,"(0, 200)",12505768.000000011
Allox,"(0, 250)",12517035.000000017
Allox,"(0, 300)",12542942.000000011
Allox,"(0, 350)",12574883.000000007
Allox,"(0, 400)",12619020.000000006
Allox,"(0, 450)",12617075.000000006
Chronus,"(0, 50)",65636
Chronus,"(0, 100)",12482230.000000011
Chronus,"(0, 150)",12493196.000000011
Chronus,"(0, 200)",12504113.00000001
Chronus,"(0, 250)",30208165.999999978
Chronus,"(0, 300)",30224115.999999985
Chronus,"(0, 350)",22239673.99999997
Chronus,"(0, 400)",30255921.999999974
Chronus,"(0, 450)",30268467.999999974
Fgt,"(0, 50)",68235
Fgt,"(0, 100)",12504003
Fgt,"(0, 150)",12489466
Fgt,"(0, 200)",12498432
Fgt,"(0, 250)",12514931
Fgt,"(0, 300)",12518050
Fgt,"(0, 350)",12570837
Fgt,"(0, 400)",12611023
Fgt,"(0, 450)",12619556
Gavel,"(0, 50)",65635.99999999996
Gavel,"(0, 100)",30167993.999999966
Gavel,"(0, 150)",30175729.999999974
Gavel,"(0, 200)",12505585.000000013
Gavel,"(0, 250)",30206165.999999963
Gavel,"(0, 300)",22217270.999999985
Gavel,"(0, 350)",23429749.999999993
Gavel,"(0, 400)",30252342.999999978
Gavel,"(0, 450)",30272473.999999978
HydraPureHeuristic,"(0, 50)",73757.99999999999
HydraPureHeuristic,"(0, 100)",12503189.000000002
HydraPureHeuristic,"(0, 150)",12498876.000000004
HydraPureHeuristic,"(0, 200)",12526051.000000006
HydraPureHeuristic,"(0, 250)",12554019.000000004
HydraPureHeuristic,"(0, 300)",12592701.000000004
HydraPureHeuristic,"(0, 350)",12590397.000000007
HydraPureHeuristic,"(0, 400)",12627754.000000004
HydraPureHeuristic,"(0, 450)",12696724.000000006
