Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 50],0.31
HydraPureHeuristic,[0 100],0.87
HydraPureHeuristic,[0 150],1.71
HydraPureHeuristic,[0 200],3.06
HydraPureHeuristic,[0 250],4.95
HydraPureHeuristic,[0 300],6.92
HydraPureHeuristic,[0 350],9.42
HydraPureHeuristic,[0 400],12.44
HydraPureHeuristic,[0 450],16.38
Allox,[0 50],1.49
Allox,[0 100],17.81
Allox,[0 150],68.89
Allox,[0 200],182.83
Allox,[0 250],387.90
Allox,[0 300],729.47
Allox,[0 350],1244.25
Allox,[0 400],2016.00
Allox,[0 450],3028.73
Gavel,[0 50],0.01
Gavel,[0 100],0.02
Gavel,[0 150],0.03
Gavel,[0 200],0.03
Gavel,[0 250],0.04
Gavel,[0 300],0.05
Gavel,[0 350],0.05
Gavel,[0 400],0.06
Gavel,[0 450],0.06
Chronus,[0 50],0.01
Chronus,[0 100],0.01
Chronus,[0 150],0.02
Chronus,[0 200],0.03
Chronus,[0 250],0.04
Chronus,[0 300],0.05
Chronus,[0 350],0.05
Chronus,[0 400],0.07
Chronus,[0 450],0.08
Fgt,[0 50],0.00
Fgt,[0 100],0.00
Fgt,[0 150],0.01
Fgt,[0 200],0.01
Fgt,[0 250],0.01
Fgt,[0 300],0.01
Fgt,[0 350],0.01
Fgt,[0 400],0.02
Fgt,[0 450],0.02
