Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 50)",8025.76,388.24,1187,1187,1
Allox,"(0, 100)",137270.55000000005,2311.98,821.6000000000009,4108.000000000005,5
Allox,"(0, 150)",97453.98000000004,4248.8,2954.6363636363635,32501,11
Allox,"(0, 200)",97718.59500000003,6553.305,5463.857142857143,76494,14
Allox,"(0, 250)",87491.01600000006,9958.924,9315.055555555558,167671.00000000006,18
Allox,"(0, 300)",139610.1900000001,13281.673333333334,8937.708333333332,214504.99999999997,24
Allox,"(0, 350)",126938.51428571432,16495.26,13051.375,417644,32
Allox,"(0, 400)",126939.81000000001,19947.33,16657.736842105263,632994,38
Allox,"(0, 450)",127959.58000000003,23271.442222222224,18565.35555555555,835440.9999999998,45
Chronus,"(0, 50)",9215.14,106.16,0,0,0
Chronus,"(0, 100)",140533.9500000001,1885.55,8724.499999999949,17448.999999999898,2
Chronus,"(0, 150)",100135.34666666674,4217.3133333333335,3788.333333333317,11364.99999999995,3
Chronus,"(0, 200)",127135.51000000004,6927.01,5540.600000000084,27703.000000000422,5
Chronus,"(0, 250)",168925.1399999999,10836.332,11753.99999999991,105785.9999999992,9
Chronus,"(0, 300)",207728.8,14841.07,9722.090909090835,106942.99999999919,11
Chronus,"(0, 350)",178424.37999999995,18034.66,11426.769230769114,148547.9999999985,13
Chronus,"(0, 400)",215184.2874999999,23139.5625,5625.874999999967,90013.99999999948,16
Chronus,"(0, 450)",214177.751111111,28026.382222222222,3900.6000000000076,58509.00000000012,15
Fgt,"(0, 50)",7599.14,1074.1,0,0,0
Fgt,"(0, 100)",136131.29,3330.14,531,1593,3
Fgt,"(0, 150)",94361.14666666667,3634.7,2086.285714285714,14604,7
Fgt,"(0, 200)",93177.39,4915.25,2259.1428571428573,15814.000000000002,7
Fgt,"(0, 250)",81242.428,6963.608,3599.181818181818,39591,11
Fgt,"(0, 300)",131676.05666666667,9147.45,5382.0625,86113,16
Fgt,"(0, 350)",116604.78857142857,10201.06,5348.388888888889,96271,18
Fgt,"(0, 400)",115387.38,12460.9975,6044.3448275862065,175286,29
Fgt,"(0, 450)",113918.72666666667,13339.74,5692.078947368421,216299,38
Gavel,"(0, 50)",10379.939999999999,106.16,8006.3333333333285,24018.999999999985,3
Gavel,"(0, 100)",320541.5299999997,1773.25,4428.599999999976,22142.99999999988,5
Gavel,"(0, 150)",218578.3466666665,3947.9866666666667,6088.272727272718,66970.9999999999,11
Gavel,"(0, 200)",127873.11500000003,6307.485,8466.444444444445,152396,18
Gavel,"(0, 250)",167603.58399999986,9551.92,8397.25,167945,20
Gavel,"(0, 300)",181185.70999999996,12892.85,11505.307692307688,299137.9999999999,26
Gavel,"(0, 350)",188789.48285714284,16107.825714285715,15642.451612903229,484916.0000000001,31
Gavel,"(0, 400)",199650.6249999999,19705.7275,15766.189189189183,583348.9999999998,37
Gavel,"(0, 450)",215792.54888888882,22571.275555555556,18550.304347826088,853314,46
HydraPureHeuristic,"(0, 50)",8529.52,1380.24,0,0,tHE
HydraPureHeuristic,"(0, 100)",137768.02000000002,2888.93,0,0,tHE
HydraPureHeuristic,"(0, 150)",98661.25333333336,4295.1,0,0,tHE
HydraPureHeuristic,"(0, 200)",98722.23000000003,7012.46,0,0,tHE
HydraPureHeuristic,"(0, 250)",88625.876,10646.152,0,0,tHE
HydraPureHeuristic,"(0, 300)",141433.91000000006,15289.156666666666,5558.000000000036,5558.000000000036,tHE
HydraPureHeuristic,"(0, 350)",129567.26857142859,18512.637142857144,4939.999999999973,9879.999999999945,tHE
HydraPureHeuristic,"(0, 400)",129880.485,22679.6475,2646.85714285714,18527.999999999978,tHE
HydraPureHeuristic,"(0, 450)",131342.29333333336,26242.304444444446,6909.000000000025,48363.000000000175,tHE
