Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 21],0.06
Allox,[0 21],0.14
Gavel,[0 21],0.01
Chronus,[0 21],0.00
Fgt,[0 21],0.00
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 43],0.24
Allox,[0 43],0.94
Gavel,[0 43],0.00
Chronus,[0 43],0.01
Fgt,[0 43],0.00
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 66],0.50
Allox,[0 66],4.02
Gavel,[0 66],0.01
Chronus,[0 66],0.01
Fgt,[0 66],0.01
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 88],0.81
Allox,[0 88],11.24
Gavel,[0 88],0.02
Chronus,[0 88],0.02
Fgt,[0 88],0.00
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 114],1.14
Allox,[0 114],27.48
Gavel,[0 114],0.02
Chronus,[0 114],0.03
Fgt,[0 114],0.00
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 137],1.65
Allox,[0 137],52.13
Gavel,[0 137],0.03
Chronus,[0 137],0.03
Fgt,[0 137],0.01
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 161],2.12
Allox,[0 161],86.76
Gavel,[0 161],0.02
Chronus,[0 161],0.03
Fgt,[0 161],0.01
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 184],2.93
Allox,[0 184],139.89
Gavel,[0 184],0.03
Chronus,[0 184],0.04
Fgt,[0 184],0.01
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 205],3.30
Allox,[0 205],197.06
Gavel,[0 205],0.03
Chronus,[0 205],0.04
Fgt,[0 205],0.01
Scheduler,CaseRange,Runtime
HydraPureHeuristic,[0 229],4.10
Allox,[0 229],287.95
Gavel,[0 229],0.05
Chronus,[0 229],0.04
Fgt,[0 229],0.01
