scheduler_name,case_range,average_jct_seconds,average_queue_delay_seconds,average_ddl_violation_duration_seconds,total_ddl_violation_duration_seconds
ChronusScheduler,"[0, 10]",12737.7,995,0,0
ChronusScheduler,"[0, 20]",14829.05,5127.45,0,0
ChronusScheduler,"[0, 30]",20231.3,10076.033333333333,0,0
ChronusScheduler,"[0, 40]",34947.95,19074.075,31915.99999999998,95747.99999999994
ChronusScheduler,"[0, 50]",47019.34,32105.48,8380.000000000004,16760.000000000007
ChronusScheduler,"[0, 60]",53908.85,35667.433333333334,25965.499999999985,51930.99999999997
ChronusScheduler,"[0, 70]",56045.7,39317.385714285716,16279.999999999973,48839.99999999992
ChronusScheduler,"[0, 80]",230690.95,56129.95,35942.00000000004,107826.00000000012
ChronusScheduler,"[0, 90]",215443.6,58572.48888888889,21865.8,109329
ChronusScheduler,"[0, 100]",208347.67000000004,66317,8751.166666666672,52507.00000000003
FragScheduler,"[0, 10]",10497.8,1029.5,770,770
FragScheduler,"[0, 20]",17415.2,7991.15,770,770
FragScheduler,"[0, 30]",22616.033333333333,12976.533333333333,8031.666666666667,24095
FragScheduler,"[0, 40]",31825.575,18670.475,12991.75,51967
FragScheduler,"[0, 50]",38290.56,24757.28,20496.2,102481
FragScheduler,"[0, 60]",48907.433333333334,30621.233333333334,26501,159006
FragScheduler,"[0, 70]",52588.485714285714,35399.52857142857,33781.75,270254
FragScheduler,"[0, 80]",214929.075,40587.2,52880.63636363636,581687
FragScheduler,"[0, 90]",203175.8777777778,46261.544444444444,49568.25,594819
FragScheduler,"[0, 100]",203461.61,61088.09,63189.46153846154,821463
GavelScheduler,"[0, 10]",10788.8,837.6,2314,2314
GavelScheduler,"[0, 20]",14170.35,4724.75,2284,2284
GavelScheduler,"[0, 30]",19038.566666666666,8306.3,4701.5,18806
GavelScheduler,"[0, 40]",30947.225,14777.375,26023.833333333332,156143
GavelScheduler,"[0, 50]",35974.3,20866.62,30765.14285714286,215356
GavelScheduler,"[0, 60]",45461.03333333333,27934.7,32915.625,263325
GavelScheduler,"[0, 70]",48667.42857142857,31084.957142857143,39464,315712
GavelScheduler,"[0, 80]",459033.225,37549.1375,60367.2,603672
GavelScheduler,"[0, 90]",337908.6222222222,43334.7,51925.46153846154,675031
GavelScheduler,"[0, 100]",311945.53,46716.77,51774.07142857143,724837
KMeansScheduler,"[0, 10]",10830.9,1186.6,0,0
KMeansScheduler,"[0, 20]",14372.85,4711.8,0,0
KMeansScheduler,"[0, 30]",18512.733333333334,8963.5,0,0
KMeansScheduler,"[0, 40]",56829.9,41334.9,19418.99999999997,38837.99999999994
KMeansScheduler,"[0, 50]",62948.25999999998,46886.159999999974,47488.99999999993,94977.99999999985
KMeansScheduler,"[0, 60]",54666.23333333333,37899.13333333333,15990.000000000004,15990.000000000004
KMeansScheduler,"[0, 70]",57567.94285714286,41094.92857142857,15221.333333333334,45664
KMeansScheduler,"[0, 80]",239854.475,65339.425,56284.333333333285,337705.9999999997
KMeansScheduler,"[0, 90]",230041.63333333333,73609.25555555556,56701.66666666663,340209.99999999977
KMeansScheduler,"[0, 100]",222544.28,80319.88,49611.57142857138,347280.99999999965
 
