scheduler_name,case_range,average_jct_seconds,average_queue_delay_seconds,average_ddl_violation_duration_seconds,total_ddl_violation_duration_seconds
AlloxScheduler,"[0, 10]",9788,1269.6,2314,2314
AlloxScheduler,"[0, 20]",13506.75,4806.15,3195,3195
AlloxScheduler,"[0, 30]",17002.266666666666,8270.133333333333,2617.25,10469
AlloxScheduler,"[0, 40]",27797.375,14539.675,14189.333333333334,85136
AlloxScheduler,"[0, 50]",33816.84,21255.2,24471,171297
AlloxScheduler,"[0, 60]",44727.86666666667,28124.883333333335,33784.625,270277
AlloxScheduler,"[0, 70]",46816.68571428571,31160.014285714286,40276,322208
AlloxScheduler,"[0, 80]",211036.925,37324.875,34538.63636363636,379924.99999999994
AlloxScheduler,"[0, 90]",198827.22222222222,42935.4,49010.166666666664,588122
AlloxScheduler,"[0, 100]",187147.12,46102.65,50278.846153846156,653625
AlloxScheduler,"[0, 110]",182083.97272727272,52305.281818181815,63605.5,890477
AlloxScheduler,"[0, 120]",177574.83333333334,57460.583333333336,72858.44444444444,1311452
AlloxScheduler,"[0, 130]",173180.83846153846,61026.769230769234,81250.8947368421,1543767
AlloxScheduler,"[0, 140]",175589.37857142856,65635.45,82334.23809523809,1729019
AlloxScheduler,"[0, 150]",178268.60666666666,73861.78666666667,99691.40909090909,2193211
AlloxScheduler,"[0, 160]",178885.9,79525.31875,99400.83333333333,2385620
AlloxScheduler,"[0, 170]",176592.49411764706,82395.84705882354,107356.66666666667,2576560
AlloxScheduler,"[0, 180]",177366.98888888888,87637.2,118692.58333333333,2848622
AlloxScheduler,"[0, 190]",183320.95263157896,96794.55789473685,129103.07692307692,3356680
AlloxScheduler,"[0, 200]",187596.775,103119.545,134026.4814814815,3618715
AlloxScheduler,"[0, 210]",190391.94761904763,109084.64761904762,138390.17857142858,3874925
AlloxScheduler,"[0, 220]",265998.16363636364,118224.23181818181,140531.7741935484,4356485
AlloxScheduler,"[0, 230]",269559.07826086954,126879.03913043479,144653.03225806452,4484244
AlloxScheduler,"[0, 240]",269448.06666666665,131846.35416666666,146501.625,4688052
AlloxScheduler,"[0, 250]",273064.632,139848.728,155247.74285714285,5433671
AlloxScheduler,"[0, 260]",273686.6769230769,144451.89615384614,150872.7435897436,5884037
AlloxScheduler,"[0, 270]",296607.5074074074,149353.37407407406,182454.64285714287,7663095.000000001
AlloxScheduler,"[0, 280]",295385.8892857143,151828.35357142857,181868.95348837212,7820365.000000001
AlloxScheduler,"[0, 290]",296016.2068965517,156952.06206896552,187270.39534883722,8052627.000000001
AlloxScheduler,"[0, 300]",291090.68,156537.23333333334,187422.56818181818,8246593
AlloxScheduler,"[0, 310]",289659.7225806452,159202.11612903225,192129.97727272726,8453719
AlloxScheduler,"[0, 320]",292540.2125,165339.55625,203420.38636363635,8950497
AlloxScheduler,"[0, 330]",296547.13333333336,172548.6787878788,210450.06818181818,9259803
AlloxScheduler,"[0, 340]",298376.6823529412,177512.8088235294,219709.0888888889,9886909
AlloxScheduler,"[0, 350]",300658.63714285713,182712.38,234061.89130434784,10766847
AlloxScheduler,"[0, 360]",310130.6277777778,194497.03055555557,251676.91666666666,12080492
AlloxScheduler,"[0, 370]",313248.31351351354,200349.61891891892,255113.96,12755698
AlloxScheduler,"[0, 380]",316120.3552631579,205581.07894736843,264017.52,13200876
AlloxScheduler,"[0, 390]",320015.38974358974,211880.41794871795,270992.02,13549601
AlloxScheduler,"[0, 400]",323547.2325,217759.1725,276759.56603773584,14668257
ChronusScheduler,"[0, 10]",12737.7,995,0,0
ChronusScheduler,"[0, 20]",14829.05,5127.45,0,0
ChronusScheduler,"[0, 30]",19452.133333333335,9614.433333333332,770.0000000000109,770.0000000000109
ChronusScheduler,"[0, 40]",35043.1,19135.675,52095.99999999997,104191.99999999994
ChronusScheduler,"[0, 50]",41760.76,26958.84,17567,52701
ChronusScheduler,"[0, 60]",53908.85,35667.433333333334,25965.499999999985,51930.99999999997
ChronusScheduler,"[0, 70]",56619.07142857143,40089.08571428571,15753.333333333334,47260
ChronusScheduler,"[0, 80]",230697.9625,56132.75,54098.50000000012,108197.00000000023
ChronusScheduler,"[0, 90]",433821.22222222225,58421.4,21381.799999999985,106908.99999999993
ChronusScheduler,"[0, 100]",208667.1,66634.24,8641.999999999995,51851.99999999997
ChronusScheduler,"[0, 110]",213988.3909090909,83079.75454545455,10403.999999999989,52019.99999999994
ChronusScheduler,"[0, 120]",216401.81666666668,95444.1,17335.124999999993,138680.99999999994
ChronusScheduler,"[0, 130]",374414.1384615385,110225.62307692308,17366.374999999978,138930.99999999983
ChronusScheduler,"[0, 140]",328188.67142857146,128789.95,15624.199999999997,156241.99999999997
ChronusScheduler,"[0, 150]",352269.74666666664,164878.06,19194.777777777803,172753.00000000023
ChronusScheduler,"[0, 160]",419952,196777.525,28036.800000000017,280368.0000000002
ChronusScheduler,"[0, 170]",413263.7,202672.8,28036.800000000017,280368.0000000002
ChronusScheduler,"[0, 180]",404600.8888888889,204886.35555555555,16009.571428571426,224133.99999999997
ChronusScheduler,"[0, 190]",378083.65263157897,226309.63157894736,19882.000000000007,318112.0000000001
ChronusScheduler,"[0, 200]",416946.285,233196.565,17496.904761904767,367435.0000000001
ChronusScheduler,"[0, 210]",407996.4809523809,231520.1857142857,19992.789473684217,379863.0000000001
ChronusScheduler,"[0, 220]",373923.9409090909,225346.43181818182,13607.777777777777,244940
ChronusScheduler,"[0, 230]",401382.6695652174,225514.58695652173,19603.173913043487,450873.00000000023
ChronusScheduler,"[0, 240]",487822.62916666665,266776.55833333335,15302.583333333338,367262.0000000001
ChronusScheduler,"[0, 250]",386792.444,251476.6,15727.75,440377
ChronusScheduler,"[0, 260]",464126.59230769234,257901.3423076923,14482.937500000004,463454.0000000001
ChronusScheduler,"[0, 270]",563803.9185185186,342066.54814814817,38928.85294117636,1323580.9999999963
ChronusScheduler,"[0, 280]",572313.2142857143,347292.77142857143,37786.77777777767,1360323.9999999963
ChronusScheduler,"[0, 290]",572527.8931034483,355185.69655172416,38802.57142857119,1358089.9999999916
ChronusScheduler,"[0, 300]",571347.2699999999,376453.5266666667,19539.972222222223,703439
ChronusScheduler,"[0, 310]",548072.5870967741,382472.57096774195,19539.972222222223,703439
ChronusScheduler,"[0, 320]",554570.484375,393270.809375,19539.972222222223,703439
ChronusScheduler,"[0, 330]",584296.9363636363,405062.63636363635,19539.972222222223,703439
ChronusScheduler,"[0, 340]",507472.7205882353,385925.9235294118,37246.97368421035,1415384.9999999935
ChronusScheduler,"[0, 350]",544996.54,397727.9257142857,36732.07499999993,1469282.9999999972
ChronusScheduler,"[0, 360]",496677.78888888896,374917.6611111111,91916.0476190486,3860474.000000041
ChronusScheduler,"[0, 370]",536694.618918919,384420.5918918919,90388.40909090993,3977090.0000000373
ChronusScheduler,"[0, 380]",565668.2763157894,434994.40789473685,38255.73333333306,1721507.9999999877
ChronusScheduler,"[0, 390]",514280.4256410257,400398.8307692308,90388.40909091002,3977090.000000041
ChronusScheduler,"[0, 400]",594855.62,462968.645,43605.27659574436,2049447.999999985
FragScheduler,"[0, 10]",10497.8,1029.5,770,770
FragScheduler,"[0, 20]",17415.2,7991.15,770,770
FragScheduler,"[0, 30]",22616.033333333333,12976.533333333333,8031.666666666667,24095
FragScheduler,"[0, 40]",31825.575,18670.475,12991.75,51967
FragScheduler,"[0, 50]",38290.56,24757.28,20496.2,102481
FragScheduler,"[0, 60]",48907.433333333334,30621.233333333334,26501,159006
FragScheduler,"[0, 70]",52588.485714285714,35399.52857142857,33781.75,270254
FragScheduler,"[0, 80]",214929.075,40587.2,52880.63636363636,581687
FragScheduler,"[0, 90]",203175.8777777778,46261.544444444444,49568.25,594819
FragScheduler,"[0, 100]",203461.61,61088.09,63189.46153846154,821463
FragScheduler,"[0, 110]",202141.04545454544,70395.22727272728,64511.5,903161
FragScheduler,"[0, 120]",199853.48333333334,77836.76666666666,84898.88235294117,1443281
FragScheduler,"[0, 130]",195858.45384615383,81847.02307692308,90841.72222222222,1635151
FragScheduler,"[0, 140]",199975.7142857143,88205.67857142857,93467.36842105263,1775880
FragScheduler,"[0, 150]",203416.29333333333,96995.30666666667,100853.8,2017076
FragScheduler,"[0, 160]",210336.4375,108760.73125,121064.36363636363,2663416
FragScheduler,"[0, 170]",216987.82352941178,120399.00588235294,121064.36363636363,2663416
FragScheduler,"[0, 180]",225847.07777777777,133774.6888888889,131408.65217391305,3022399.0000000005
FragScheduler,"[0, 190]",237231.88947368422,147958.8105263158,144137.16666666666,3459292
FragScheduler,"[0, 200]",249954.245,162348.835,157114.28,3927857
FragScheduler,"[0, 210]",258659.44285714286,173909.05714285714,167320.03846153847,4350321
FragScheduler,"[0, 220]",367829.45454545453,239395.9,178726.2857142857,5004336
FragScheduler,"[0, 230]",371518.0086956522,246060.34347826088,173509.37931034484,5031772
FragScheduler,"[0, 240]",380821.48333333334,259691.03333333333,187303.9,5619117
FragScheduler,"[0, 250]",386100.436,268266.636,208715.4375,6678894
FragScheduler,"[0, 260]",394809.3461538461,280392.1269230769,245052.47222222222,8821889
FragScheduler,"[0, 270]",430332.4222222222,297538.3259259259,302163.58974358975,11784380
FragScheduler,"[0, 280]",436712.54285714286,307453.54642857146,313484.625,12539385
FragScheduler,"[0, 290]",441118.5827586207,315530.67586206895,313484.625,12539385
FragScheduler,"[0, 300]",456737.8233333333,335143.61,341632.9761904762,14348585
FragScheduler,"[0, 310]",466482.71612903225,348473.3258064516,341632.9761904762,14348585
FragScheduler,"[0, 320]",475294.64375,360146.90625,341632.9761904762,14348585
FragScheduler,"[0, 330]",478357.45454545453,365758.12727272726,341632.9761904762,14348585
FragScheduler,"[0, 340]",490915.92647058825,381019.19705882354,356969.5581395349,15349691
FragScheduler,"[0, 350]",497539.7942857143,389981.8914285714,362255.20454545453,15939229
FragScheduler,"[0, 360]",508585.8777777778,402402.74166666664,392824.76086956525,18069939
FragScheduler,"[0, 370]",518356.15675675677,414541.1837837838,415488.7708333333,19943461
FragScheduler,"[0, 380]",529725.1026315789,427844.44736842107,415488.7708333333,19943461
FragScheduler,"[0, 390]",545095.6743589743,445360.5435897436,415488.7708333333,19943461
FragScheduler,"[0, 400]",560102.3825,462349.025,454949.09803921566,23202404
GavelScheduler,"[0, 10]",10788.8,837.6,2314,2314
GavelScheduler,"[0, 20]",14170.35,4724.75,2284,2284
GavelScheduler,"[0, 30]",19038.566666666666,8306.3,4701.5,18806
GavelScheduler,"[0, 40]",30947.225,14777.375,26023.833333333332,156143
GavelScheduler,"[0, 50]",35974.3,20866.62,30765.14285714286,215356
GavelScheduler,"[0, 60]",45461.03333333333,27934.7,32915.625,263325
GavelScheduler,"[0, 70]",48667.42857142857,31084.957142857143,39464,315712
GavelScheduler,"[0, 80]",459033.225,37549.1375,60367.2,603672
GavelScheduler,"[0, 90]",337908.6222222222,43334.7,51925.46153846154,675031
GavelScheduler,"[0, 100]",311945.53,46716.77,51774.07142857143,724837
GavelScheduler,"[0, 110]",295240.2909090909,52513.8,68952.78571428571,965339
GavelScheduler,"[0, 120]",281183.7083333333,57724.65833333333,65767.84210526316,1249589
GavelScheduler,"[0, 130]",173967.22307692308,61626.192307692305,79587.8,1591756
GavelScheduler,"[0, 140]",317318.5071428571,66423.52142857143,78518.80952380953,1648895
GavelScheduler,"[0, 150]",264197.44,74756.98,110178.69565217392,2534110
GavelScheduler,"[0, 160]",180737.91875,80263.14375,108790.45833333333,2610971
GavelScheduler,"[0, 170]",251960.39411764705,83300.24705882353,118204.72,2955118
GavelScheduler,"[0, 180]",246922.45,88362.86111111111,111081,2888106
GavelScheduler,"[0, 190]",249394.0105263158,97632.6052631579,123681.70370370371,3339406
GavelScheduler,"[0, 200]",286986.71,103843.315,130929.46428571429,3666025
GavelScheduler,"[0, 210]",285353.8142857143,110117.29047619048,136588.4827586207,3961066
GavelScheduler,"[0, 220]",268281.2,118958.22272727273,148243.87096774194,4595560
GavelScheduler,"[0, 230]",369265.05217391305,126525.38695652173,149966.34375,4798923
GavelScheduler,"[0, 240]",322183.9666666667,131293.9125,147181.03125,4709793
GavelScheduler,"[0, 250]",324234.368,139607.684,175185.6,6131496
GavelScheduler,"[0, 260]",303504.2576923077,144256.71153846153,160511.41025641025,6259945
GavelScheduler,"[0, 270]",380981.68888888886,149585.35925925925,179506.30952380953,7539265
GavelScheduler,"[0, 280]",376234.5071428571,152172.8142857143,184953,7952979
GavelScheduler,"[0, 290]",348488.30689655175,157490.30689655172,205077.44186046513,8818330
GavelScheduler,"[0, 300]",341794.44,157113.02,207781.3409090909,9142379
GavelScheduler,"[0, 310]",363099.11935483874,159744.49032258065,199153.75,8762765
GavelScheduler,"[0, 320]",364488.728125,166007,219296.70454545456,9649055
GavelScheduler,"[0, 330]",341410.3,173114.9424242424,267543.13636363635,11771898
GavelScheduler,"[0, 340]",343130.0676470588,178053.54705882352,234501.35555555555,10552561
GavelScheduler,"[0, 350]",366373.2428571429,183580.48285714287,241598.78260869565,11113544
GavelScheduler,"[0, 360]",332121.28055555554,194681.39444444445,265353.3125,12736959
GavelScheduler,"[0, 370]",334991.15405405406,200802.84594594594,271462.14,13573107
GavelScheduler,"[0, 380]",355985.4157894737,206229.17631578946,319230.38,15961519
GavelScheduler,"[0, 390]",371683.9512820513,212439.8487179487,275756.4,13787820.000000002
GavelScheduler,"[0, 400]",361544.8225,218484.77,329442.6037735849,17460458
KMeansScheduler,"[0, 10]",10830.9,1186.6,0,0
KMeansScheduler,"[0, 20]",14372.85,4711.8,0,0
KMeansScheduler,"[0, 30]",18512.733333333334,8963.5,0,0
KMeansScheduler,"[0, 40]",56829.9,41334.9,19418.99999999997,38837.99999999994
KMeansScheduler,"[0, 50]",62948.25999999998,46886.159999999974,47488.99999999993,94977.99999999985
